subject,phase,group,filename,time_seconds,time_minutes,response_code,response_type
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1145.68,19.09466666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1146.27,19.104499999999998,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1146.83,19.113833333333332,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1147.2,19.12,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1147.37,19.122833333333332,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1152.22,19.203666666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1152.28,19.204666666666665,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1153.06,19.217666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1155.38,19.256333333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1158.3,19.305,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1162.48,19.374666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1164.03,19.4005,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1164.96,19.416,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1169.88,19.498,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1171.62,19.526999999999997,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1175.84,19.59733333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1176.16,19.602666666666668,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1180.26,19.671,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1181.81,19.696833333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1185.47,19.757833333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1187.75,19.795833333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1187.93,19.798833333333334,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1190.62,19.843666666666664,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1196.4,19.94,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1199.3,19.988333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1203.07,20.051166666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1203.97,20.066166666666668,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1204.11,20.068499999999997,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1206.32,20.10533333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1211.59,20.193166666666666,1.0,inactive_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1220.8,20.346666666666668,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1222.11,20.368499999999997,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1223.67,20.3945,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1225.09,20.418166666666664,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1226.89,20.44816666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1230.59,20.509833333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1230.79,20.513166666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1233.16,20.552666666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1233.91,20.565166666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1236.33,20.6055,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1236.44,20.607333333333333,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1236.94,20.615666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1255.65,20.927500000000002,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1255.89,20.931500000000003,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1266.51,21.1085,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1268.86,21.147666666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1269.67,21.161166666666666,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1271.16,21.186,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1288.63,21.47716666666667,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1288.71,21.4785,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1288.97,21.482833333333335,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1295.77,21.596166666666665,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1299.42,21.657,6.0,reinforced
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1361.57,22.692833333333333,1.0,inactive_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.32,22.955333333333332,2.0,active_lever
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.32,22.955333333333332,4.0,other_4
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.32,22.955333333333332,22.0,other_22
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.33,22.955499999999997,24.0,other_24
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.33,22.955499999999997,12.0,other_12
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.33,22.955499999999997,13.0,other_13
73,SelfAdmin,One,2025-04-14_09h08m_Subject 73.txt,1377.33,22.955499999999997,8.0,other_8
